교과군,과목명,과목 개요,담당 교사 코멘트 (평가 방식 및 추천 대상 등)
국어,공통국어1,문학과 언어 활동을 통해 비판적 사고력과 문학적 심미안을 기르는 공통 필수 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
국어,공통국어2,다양한 매체와 독서 활동을 통해 종합적인 의사소통 및 문제 해결력을 함양하는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
국어,문학,문학 작품의 감상과 비평을 통해 인간과 세계를 이해하고 인문학적 소양을 기르는 일반선택 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
국어,화법과 언어,구어 및 매체 의사소통의 원리를 익히고 올바른 언어 규범과 언어생활을 성찰하는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
국어,독서와 작문,논리적이고 비판적인 독해력과 자신의 생각을 명확하게 표현하는 작문 능력을 키우는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
국어,언어생활 탐구,"우리말의 구조와 역사, 매체 언어의 특성을 깊이 탐구하는 융합/진로 선택 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
국어,주제 탐구 독서,‘주제 탐구 독서’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
국어,문학과 영상,‘문학과 영상’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
국어,독서 토론과 글쓰기,‘독서 토론과 글쓰기’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,공통수학1,"고등학교 수학의 토대가 되는 다항식, 방정식, 함수 등의 기본 개념을 학습하는 공통 필수 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,공통수학2,"도형의 방정식, 집합과 명제, 함수 등을 통해 수학적 논리력과 공간 지각력을 키우는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,대수,"지수와 로그, 삼각함수, 수열 등 수학적 함수와 규칙성을 이해하고 활용하는 일반선택 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,미적분Ⅰ,"함수의 극한과 연속, 미분과 적분의 개념을 익혀 변화율과 넓이를 수학적으로 분석하는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,확률과 통계,데이터를 수집·분석하는 통계와 무작위 현상의 가능성을 수학적으로 계산하는 방법을 배우는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,기하,"이차곡선, 평면벡터, 공간도형 등을 학습하여 기하학적 직관과 문제를 해결하는 진로선택 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,인공지능 수학,‘인공지능 수학’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,경제 수학,‘경제 수학’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,미적분Ⅱ,‘미적분Ⅱ’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,고급 대수,‘고급 대수’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,고급 미적분,‘고급 미적분’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
수학,수학과제 탐구,‘수학과제 탐구’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,공통영어1,실생활 중심의 영어 의사소통 능력을 기르고 글로벌 문화적 소양을 넓히는 공통 필수 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,공통영어2,"다양한 주제의 듣기, 읽기, 말하기, 쓰기 활동을 통해 전반적인 영어 유창성을 높이는 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,영어Ⅰ,다양한 분야의 텍스트와 담화를 통해 심화된 읽기 및 소통 능력을 기르는 일반선택 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,영어Ⅱ,논리적 글쓰기와 심화 독해를 바탕으로 학술적·실무적 양식의 영어 활용력을 극대화하는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,영어 독해와 작문,영어 텍스트를 비판적으로 읽고 논리적인 문장으로 표현하는 작문 기술을 습득하는 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,심화 영어,‘심화 영어’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,세계 문화와 영어,‘세계 문화와 영어’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,영미 문학 읽기,‘영미 문학 읽기’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
영어,실생활 영어 회화,‘실생활 영어 회화’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,한국사1,우리나라 역사의 형성과 발전 과정을 이해하고 주체적인 역사관을 형성하는 필수 과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,한국사2,‘한국사2’에 관한 기본 지식과 심화 이론을 학습하는 교과목입니다.,담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
사회,통합사회1,"시간, 공간, 윤리, 사회 등 다각적 관점에서 현대 사회를 유기적으로 이해하는 공통 필수 과목입니다.",담당 선생님께서 입력하실 영역입니다. (예: 수능 대비 전략 등)
